instrument_key,southbound_eligible,as_of_date,source_label
00868,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00874,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00880,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00881,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00883,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00895,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00902,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00909,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00914,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00916,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00917,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00921,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00934,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00939,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00941,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00956,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00960,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00966,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00968,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00975,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00981,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00990,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00991,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00992,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00995,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00998,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
00999,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01024,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01030,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01033,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01038,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01044,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01052,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01053,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01055,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01057,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01060,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01065,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01066,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01070,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01071,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01072,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01083,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01088,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01093,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01099,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
01108,true,2026-05-22,sse_southbound_eligible;szse_southbound_eligible
